Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys*,12,5,0,.706,530,358,172,10.1,-0.2,9.9,8.2,1.7
Philadelphia Eagles+,9,8,0,.529,444,385,59,3.5,-1.0,2.5,2.6,-0.1
Washington Football Team,7,10,0,.412,335,434,-99,-5.8,1.6,-4.2,-2.7,-1.5
New York Giants,4,13,0,.235,258,416,-158,-9.3,1.0,-8.3,-7.7,-0.6
Green Bay Packers*,13,4,0,.765,450,371,79,4.6,-0.2,4.4,3.5,1.0
Minnesota Vikings,8,9,0,.471,425,426,-1,-0.1,0.3,0.3,1.9,-1.6
Chicago Bears,6,11,0,.353,311,407,-96,-5.6,0.5,-5.2,-4.9,-0.3
Detroit Lions,3,13,1,.206,325,467,-142,-8.4,0.6,-7.8,-3.5,-4.3
Tampa Bay Buccaneers*,13,4,0,.765,511,353,158,9.3,-0.7,8.6,7.3,1.3
New Orleans Saints,9,8,0,.529,364,335,29,1.7,0.3,2.0,-1.5,3.6
Atlanta Falcons,7,10,0,.412,313,459,-146,-8.6,0.1,-8.5,-4.2,-4.3
Carolina Panthers,5,12,0,.294,304,404,-100,-5.9,0.4,-5.5,-5.0,-0.5
Los Angeles Rams*,12,5,0,.706,460,372,88,5.2,0.1,5.3,4.2,1.1
Arizona Cardinals+,11,6,0,.647,449,366,83,4.9,0.3,5.2,3.6,1.6
San Francisco 49ers+,10,7,0,.588,427,365,62,3.6,0.1,3.8,1.8,1.9
Seattle Seahawks,7,10,0,.412,395,366,29,1.7,0.2,1.9,0.4,1.5
